date2,losses,cumlosses
16mar2020,16.889992,16.889992
17mar2020,-34.879059,-17.989067
18mar2020,-37.445469,-55.434536
19mar2020,-42.495445,-97.929977
20mar2020,-60.726532,-158.65651
21mar2020,-65.410065,-224.06657
22mar2020,-21.076303,-245.14288
23mar2020,-45.534866,-290.67773
24mar2020,-40.206207,-330.88394
25mar2020,7.7076874,-323.17627
26mar2020,-25.120071,-348.29633
27mar2020,-52.255066,-400.55139
28mar2020,-29.187935,-429.73935
29mar2020,-10.294775,-440.03412
30mar2020,9.2933655,-430.74075
31mar2020,3.0587387,-427.68201
01apr2020,8.9766312,-418.70538
02apr2020,-7.8284378,-426.53381
03apr2020,-36.645584,-463.17941
04apr2020,-46.239544,-509.41895
05apr2020,-15.735352,-525.1543
